NodeA,NodeB,Weights
55,2877,0.0
55,493,0.0
56,4994,1.0
56,9729,1.0
56,5868,1.0
56,840,1.0
56,3673,1.0
56,7550,1.0
56,8407,1.0
56,8246,1.0
56,8842,1.0
56,5596,1.0
57,12877,1.0
57,6966,1.0
57,7345,1.0
57,6734,1.0
57,12482,1.0
57,7810,1.0
57,12329,1.0
57,11811,1.0
57,8262,1.0
57,1202,0.0
58,6162,1.0
58,3320,1.0
58,307,1.0
58,2060,1.0
58,12294,1.0
58,4506,1.0
58,1417,1.0
58,4745,1.0
58,7346,1.0
58,170,1.0
59,3617,1.0
59,8501,1.0
59,6573,1.0
59,4425,1.0
59,4435,1.0
59,2175,1.0
59,6569,1.0
59,4136,1.0
59,10600,1.0
59,5366,1.0
60,4250,1.0
60,10339,1.0
60,8521,1.0
60,4885,1.0
60,12191,1.0
60,4590,1.0
60,112,1.0
60,5572,1.0
60,8346,1.0
60,2250,0.0
61,295,1.0
61,12287,1.0
61,11601,1.0
61,7206,1.0
61,6447,1.0
61,7659,1.0
61,2501,1.0
61,6290,1.0
61,7138,1.0
61,10786,0.0
62,9284,1.0
62,6291,1.0
62,154,1.0
62,4982,1.0
62,1778,1.0
62,6647,1.0
62,11869,1.0
62,12230,1.0
62,7107,1.0
62,2536,1.0
63,12294,1.0
63,12432,1.0
63,10129,1.0
63,5808,1.0
63,5125,1.0
63,3973,1.0
63,2208,1.0
63,5031,0.0
63,6671,0.0
63,7134,0.0
64,4229,1.0
64,8203,1.0
64,5609,1.0
64,11754,1.0
64,12806,1.0
64,5272,1.0
64,3348,1.0
64,5665,1.0
64,9013,1.0
64,5052,1.0
65,1067,1.0
65,10532,1.0
65,9636,1.0
65,7756,1.0
65,4226,1.0
65,6199,1.0
65,4277,1.0
65,12986,1.0
65,7593,0.0
65,6407,0.0
66,10785,1.0
66,6740,1.0
66,11124,1.0
66,1172,1.0
66,5367,1.0
66,10804,1.0
66,2302,1.0
66,11893,1.0
66,8351,0.0
66,10197,0.0
67,10789,1.0
67,226,1.0
67,9764,1.0
67,4540,1.0
67,5169,1.0
67,5490,1.0
67,8519,1.0
67,6217,1.0
67,3776,1.0
67,2011,0.0
68,1940,1.0
68,3615,1.0
68,8652,1.0
68,9339,1.0
68,6638,1.0
68,12783,1.0
68,1346,1.0
68,7614,1.0
68,408,0.0
68,12658,0.0
69,7671,1.0
69,11328,1.0
69,10210,1.0
69,2,1.0
69,7510,1.0
69,10987,1.0
69,9374,1.0
69,12319,1.0
69,12009,0.0
69,7790,0.0
70,4106,1.0
70,8480,1.0
70,8747,1.0
70,205,1.0
70,5765,1.0
70,11069,1.0
70,11820,1.0
70,6138,1.0
70,8866,1.0
70,1904,0.0
71,5553,1.0
71,3294,1.0
71,11828,1.0
71,7124,1.0
71,9352,1.0
71,12827,1.0
71,815,1.0
71,9285,1.0
71,3032,0.0
71,12184,0.0
72,6664,1.0
72,4581,1.0
72,9045,1.0
72,11244,1.0
72,6151,1.0
72,8475,1.0
72,10049,1.0
72,8357,1.0
72,6609,1.0
72,1495,0.0
73,8212,1.0
73,1588,1.0
73,4789,1.0
73,3856,1.0
73,6463,1.0
73,5418,1.0
73,892,1.0
73,9434,1.0
73,12654,1.0
73,8828,0.0
74,5836,1.0
74,8827,1.0
74,2718,1.0
74,10285,1.0
74,12790,1.0
74,5535,1.0
74,8793,1.0
74,2043,1.0
74,5572,0.0
74,11308,0.0
75,1355,1.0
75,9612,1.0
75,3148,1.0
75,1904,1.0
75,504,1.0
75,8897,1.0
75,792,1.0
75,6362,1.0
75,7337,1.0
75,9391,0.0
76,4393,1.0
76,1996,1.0
76,5553,1.0
76,10260,1.0
76,12402,1.0
76,2960,1.0
76,8288,1.0
76,7032,1.0
76,12390,1.0
76,3451,0.0
77,4662,1.0
77,4759,1.0
77,12566,1.0
77,12001,1.0
77,4472,1.0
77,6255,1.0
77,13121,1.0
77,9482,1.0
77,2507,0.0
77,12150,0.0
78,2927,1.0
78,5160,1.0
78,4666,1.0
78,5773,1.0
78,10786,1.0
78,9587,1.0
78,12610,1.0
78,7787,1.0
78,12130,1.0
78,3843,1.0
79,638,1.0
79,7850,1.0
79,10703,1.0
79,11236,1.0
79,10010,1.0
79,2362,1.0
79,875,1.0
79,2046,1.0
79,494,0.0
79,5731,0.0
80,9007,1.0
80,4533,1.0
80,5914,1.0
80,12435,1.0
80,1523,1.0
80,7928,1.0
80,7773,1.0
80,8674,1.0
80,2517,1.0
80,9477,0.0
81,1996,1.0
81,8487,1.0
81,5537,1.0
81,12435,1.0
81,508,1.0
81,6165,1.0
81,9296,1.0
81,3714,0.0
81,949,0.0
81,1960,0.0
82,8462,1.0
82,7108,1.0
82,5999,1.0
82,6614,1.0
82,1637,1.0
82,2191,1.0
82,3364,1.0
82,1121,1.0
82,6522,0.0
82,4438,0.0
83,6681,1.0
83,5882,1.0
83,9604,1.0
83,475,1.0
83,8643,1.0
83,4541,1.0
83,3722,1.0
83,6788,1.0
83,10069,1.0
83,8778,1.0
84,2541,1.0
84,12132,1.0
84,9509,1.0
84,10778,1.0
84,148,1.0
84,7226,1.0
84,4099,1.0
84,5644,1.0
84,8668,1.0
84,2851,0.0
85,8752,1.0
85,2857,1.0
85,3051,1.0
85,10429,1.0
85,6325,1.0
85,1834,1.0
85,13180,1.0
85,13142,1.0
85,9011,0.0
85,5646,0.0
86,11068,1.0
86,3442,1.0
